營收排名,公司名稱,總營收2022Q1（億）,同期成長率（％）
1,喬山,75.23,3.73,Johnson Health Tech (喬山)
2,大樹,31.98,28.62,Great Tree (大樹)
3,美時,31.61,-4.9,Lotus Pharma (美時)
4,岱宇,22.59,-40.99,Dayco International (岱宇)
5,葡萄王,20.53,4.08,Grape King Co. (葡萄王)
6,永信,19.54,9.87,Yungshin Pharma (永信)
7,中化,19.51,-2.89,China Chemical & Pharmaceutical (中化)
8,泰博,17.93,33.14,TaiDoc Technology (泰博)
9,佳醫,17.08,4.98,Excelsior Medical (佳醫)
10,大江,16.58,-14.8,TCI Co. (大江)
11,杏一,16.08,7.63,MedFirst Healthcare Services (杏一)
12,晶碩,14.88,29.9,Pegavision (晶碩)
14,精華,13.46,3.04,St.Shine Technology (精華)
15,生達,12.37,12.38,Standard Chem & Pharm (生達)
16,友華,11.44,-5.88,Orient EuroPharma (友華)
17,保瑞,11.19,-18.18,Bora Pharmaceuticals (保瑞)
18,盛弘,10.39,15.6,ShareHope Medicine (盛弘)
19,東洋,10.37,7.58,TTY Biopharm (東洋)
