增率排名,公司名稱,同期成長率（％）,總營收2022Q1（萬）
3,訊映,40.95,41712.9,OK Biotech (訊映)
4,懷特,38.88,3496.1,PhytoHealth Corp (懷特)
5,晶碩,29.9,148838.5,Pegavision (晶碩)
6,中化生,25.6,52953.2,Chunghwa Chemical Synthesis & Biotech (中化生)
7,寶齡富錦,21.53,45456.6,Panion & BF Biotech (寶齡富錦)
8,神隆,15.1,73793.9,ScinoPharm Taiwan (神隆)
9,台耀,13.4,83494.5,Formosa Laboratories (台耀)
10,生達,12.38,123736.8,Standard Chem & Pharm (生達)
11,和康生,11.04,12326.2,Maxigen Biotech (和康生)
12,永信,9.87,195442.2,Yungshin Pharma (永信)
14,杏輝,8.28,66933.3,Sinphar Group (杏輝)
15,佳醫,4.98,170824.4,Excelsior Medical (佳醫)
16,葡萄王,4.08,205258,Grape King Co. (葡萄王)
17,喬山,3.73,752328.8,Johnson Health Tech (喬山)
18,華廣,2.55,47564.6,Bionime (華廣)
19,雃博,2.5,59539.3,Apex Medical (雃博)
