產品名稱,公司,產品類別,銷售通路,公司官網,產品頁面
青葉土豆麵筋,青葉食品工業股份有限公司,配菜,"['美廉社', '一般超市']",,https://eatender.firdi.org.tw/product/detail?id=10987
無糖肉鬆,新力香食品有限公司,配菜,,,https://eatender.firdi.org.tw/product/detail?id=10983
新東陽寶寶健康純豬肉鬆,新東陽股份有限公司大園廠,配菜,,,https://eatender.firdi.org.tw/product/detail?id=10982
趣啃派對ChickenBar-日式海苔,洽富實業股份有限公司,配菜,,,https://eatender.firdi.org.tw/product/detail?id=10980
大成鮮純雞肉鬆,大成長城股份有限公司,配菜,,,https://eatender.firdi.org.tw/product/detail?id=10984
鰻魚風味鮮魚鬆,屏榮實業股份有限公司,配菜,,,https://eatender.firdi.org.tw/product/detail?id=10985
喜琵鷥櫻花蝦鬆,駱駝鈴生機股份有限公司,休閒食品,,,https://eatender.firdi.org.tw/product/detail?id=10986
溏心蛋,福記冷凍食品股份有限公司,配菜,,,https://eatender.firdi.org.tw/product/detail?id=10981
三心鱸魚丸,瀚頂生物科技股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=10979
銀髮族純肉豬肉鬆,台中市大安區肉品市場,配菜,['郵政商城'],,https://eatender.firdi.org.tw/product/detail?id=11615
古早味手切滷肉醬,台亞食品有限公司,配菜,"['天良衛星電視台', 'JASONS', '愛買']",www.taiya.com.tw,https://eatender.firdi.org.tw/product/detail?id=11622
純虱目魚鬆,安永生活事業股份有限公司,配菜,['ANYOFRESH線上購物'],https://www.anyongfresh.com/,https://eatender.firdi.org.tw/product/detail?id=11620
林鳳營特濃重乳優格(無加糖),味全食品工業股份有限公司,乳品,,https://www.weichuan.com.tw/,https://eatender.firdi.org.tw/product/detail?id=11638
林鳳營特濃重乳優格,味全食品工業股份有限公司,乳品,,https://www.weichuan.com.tw/,https://eatender.firdi.org.tw/product/detail?id=11637
林鳳營特濃重乳優格(草莓),味全食品工業股份有限公司,乳品,"['喜互惠', '頂好Wellcome', '大潤發', '美廉社', '愛買', '家樂福', '全聯社']",https://www.weichuan.com.tw/,https://eatender.firdi.org.tw/product/detail?id=11640
林鳳營特濃重乳優格,味全食品工業股份有限公司,乳品,,https://www.weichuan.com.tw/,https://eatender.firdi.org.tw/product/detail?id=11636
林鳳營特濃重乳優格(無加糖),味全食品工業股份有限公司,乳品,,https://www.weichuan.com.tw/,https://eatender.firdi.org.tw/product/detail?id=11639
鮮羊乳,保證責任臺灣省嘉南羊乳運銷合作社,乳品,"['嘉南羊乳-官方訂購', '全國經銷訂購服務專線']",https://www.cng.com.tw/contact.php,https://eatender.firdi.org.tw/product/detail?id=11646
原味發酵羊乳,保證責任臺灣省嘉南羊乳運銷合作社,乳品,"['全國經銷訂購服務專線', '嘉南羊乳-官方訂購']",https://www.cng.com.tw/contact.php,https://eatender.firdi.org.tw/product/detail?id=11648
馬修嚴選原味優格,彩宸生活事業股份有限公司,其他,,https://www.matthewschoice.com/Shop/ProductList,https://eatender.firdi.org.tw/product/detail?id=11643
低脂鮮羊乳,保證責任臺灣省嘉南羊乳運銷合作社,乳品,"['全國經銷訂購服務專線', '嘉南羊乳-官方訂購']",https://www.cng.com.tw/contact.php,https://eatender.firdi.org.tw/product/detail?id=11647
馬修嚴選原味優格分享號G+,彩宸生活事業股份有限公司,其他,"['好物市集', '博客來', 'momo']",https://www.matthewschoice.com/Shop/ProductList,https://eatender.firdi.org.tw/product/detail?id=11641
馬修嚴選原味優格分享號,彩宸生活事業股份有限公司,其他,,https://www.matthewschoice.com/Shop/ProductList,https://eatender.firdi.org.tw/product/detail?id=11642
原味G+優格飲,彩宸生活事業股份有限公司,乳品,"['好物市集', '博客來', 'momo']",https://www.matthewschoice.com/Shop/ProductList,https://eatender.firdi.org.tw/product/detail?id=11644
高湯魚片粥,天和鮮物股份有限公司,主食,['全家行動購'],,https://eatender.firdi.org.tw/product/detail?id=10962
薑黃蕈菇粥,佳質食品研發有限公司,主食,"['PCHOME', 'CitySuper']",,https://eatender.firdi.org.tw/product/detail?id=10961
好漁夫鱸魚水餃,峰漁股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=10967
手工去刺純虱目魚水餃,府城館事業股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=10966
紅藜乾拌麵傳香胡麻風味,統欣生物科技股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=10968
我鮮你食黑珍米飯糰(麻油筍干),魚之達人水產股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=10965
起司南瓜海鮮燉飯,鮮湧企業股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=10963
西式番茄牛肉燉飯,鮮湧企業股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=10964
藻健康活力麵,沁園企業社,主食,['三立電電購'],,https://eatender.firdi.org.tw/product/detail?id=11602
大口高麗菜豬肉熟水餃,奇美食品股份有限公司,主食,"['全聯', '家樂福', '大潤發']",www.chimeifood.com.tw,https://eatender.firdi.org.tw/product/detail?id=11600
旺伯有機-有機杏仁藜麥飲,禾園生物科技有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10998
冷藏虱目魚碗粿,板田實業有限公司,點心,['優鮮主意'],,https://eatender.firdi.org.tw/product/detail?id=11686
旺伯有機-有機黑米黑芝麻飲,禾園生物科技有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10996
古早味鮮肉包,奇美食品股份有限公司,點心,['全聯'],www.chimeifood.com.tw,https://eatender.firdi.org.tw/product/detail?id=11687
旺伯有機-有機深焙亞麻堅果飲,禾園生物科技有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10999
旺伯有機-有機深焙黑豆堅果飲,禾園生物科技有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=11000
營養補給調味乳(葡萄糖胺),乳之初牧場股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10991
黑瓊露(黑木耳),食科院國際股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=11002
地瓜堅果飲,佳質食品研發有限公司,飲品,"['PCHOME', 'CitySuper']",,https://eatender.firdi.org.tw/product/detail?id=11001
能量海燕窩,參同企業有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=11004
營養補給調味乳(初乳),乳之初牧場股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10992
綠色未來精力湯初乳明日葉配方,統健實業股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10994
營養全穀堅果奶-葡萄糖胺配方,馬玉山食品工業股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10993
銀髮族軟質餐_紫米粥、香菇肉燥、紅蘿蔔炒蛋、炒菠菜,奇美食品股份有限公司,餐食,['奇美醫療財團法人_奇美醫院'],,https://eatender.firdi.org.tw/product/detail?id=13280
里仁綜合蛋白補充飲,鈺統食品股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=10995
元進莊-高麗菜豬肉水餃,元進莊企業股份有限公司,餐食,"['全聯線上購', '全聯福利中心']",https://www.yjcfood.com/,https://eatender.firdi.org.tw/product/detail?id=13699
青花椒龍虎斑魚片糙米粥,中華海洋生技股份有限公司,餐食,,https://eshop.hiqbio.com/product?pid_for_show=3680&category_sn=906,https://eatender.firdi.org.tw/product/detail?id=13686
手工石斑魚肉水餃,安永生活事業股份有限公司,餐食,"['安永鮮物電子商務網站', '安永鮮物門市']",,https://eatender.firdi.org.tw/product/detail?id=13281
紅藜蔬食炒飯,義美食品股份有限公司,餐食,"['大潤發線上購物', '義美門市', '大潤發、家樂福、愛買', '7-11、全家、萊爾富、OK']",www.imeifoods.com,https://eatender.firdi.org.tw/product/detail?id=13715
及第冷凍豬肉玉米手工捏花水餃,統一企業股份有限公司,餐食,['全聯'],,https://eatender.firdi.org.tw/product/detail?id=13730
得意的一天番茄牛肉高湯粥,佳格食品股份有限公司,餐食,['全聯福利中心'],,https://eatender.firdi.org.tw/product/detail?id=13752
光泉頂級無加糖希臘式優酪,光泉牧場股份有限公司,點心,,,https://eatender.firdi.org.tw/product/detail?id=11011
海森日式五木燒鳥炊飯,一德立食品有限公司,餐食,"['蝦皮', '在新北市中和區有自有門市']",https://www.seaandland.com.tw/,https://eatender.firdi.org.tw/product/detail?id=13832
滿漢嘟嘟好蒜味小香腸,統一企業股份有限公司,點心,,,https://eatender.firdi.org.tw/product/detail?id=11010
卡士達麵包,統一企業股份有限公司,點心,"['7-11', 'OK']",,https://eatender.firdi.org.tw/product/detail?id=11007
里仁麻油鮮蔬粥,鈺統食品股份有限公司,飲品,,,https://eatender.firdi.org.tw/product/detail?id=11012
統欣生技彩虹蔬果(田園紫芋),統欣生物科技股份有限公司,點心,,,https://eatender.firdi.org.tw/product/detail?id=11013
紅豆紫米粥,福記冷凍食品股份有限公司,點心,,,https://eatender.firdi.org.tw/product/detail?id=11008
晨露樂齡粥綜合組,元進莊企業股份有限公司,點心,"['樂天', '蝦皮', '元進莊', '台中新光三越-中港店B2元進莊']",https://www.yjcfood.com/,https://eatender.firdi.org.tw/product/detail?id=11680
晨露寶寶粥綜合組,元進莊企業股份有限公司,點心,"['台中新光三越-中港店B2元進莊', '元進莊-晨露寶寶粥', '樂天']",https://reurl.cc/E72vag,https://eatender.firdi.org.tw/product/detail?id=11681
飼好漁思慕魚香蘿蔔糕,豐佑企業股份有限公司,點心,,,https://eatender.firdi.org.tw/product/detail?id=11009
大麥若葉田園粥,佳質食品研發有限公司,主食,"['遠東都會CitySuper超市', 'PCHOME']",http://www.value-foods.com.tw/que_grain/,https://eatender.firdi.org.tw/product/detail?id=11679
蒲燒鯛魚腹肉,東晟水產股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10977
蔬菜顆粒-益生菌飽飽粥-紅藜麥海鮮,佳質食品研發有限公司,點心,['PCHOME'],http://www.value-foods.com.tw/que_grain/,https://eatender.firdi.org.tw/product/detail?id=11676
迷迭香雞胸肉,台灣農畜產工業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10975
無顆粒-益生菌飽飽粥-翡翠鮮菇,佳質食品研發有限公司,點心,['PCHOME'],http://www.value-foods.com.tw/que_grain/,https://eatender.firdi.org.tw/product/detail?id=11677
自信作-蒲燒鰻魚,屏榮實業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10978
秘製紅麴東坡肉,欣光食品股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10970
滷肉豬,聯夏食品工業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10971
糖醋豬,聯夏食品工業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10972
京醬軟骨排,齊力國際行銷股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10969
蔥油雞,聯夏食品工業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10973
原味玉子燒,祥旺食品工業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10976
三杯雞,聯夏食品工業股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=10974
台灣G霸樂活三胸帝,元進莊企業股份有限公司,主菜,['元進莊-台灣G霸樂活三胸帝'],https://reurl.cc/z8bkOp,https://eatender.firdi.org.tw/product/detail?id=11606
極品小海鱸魚全魚輪切,天和鮮物股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=11023
蔥香油雞肉絲,元進莊企業股份有限公司,主菜,['元進莊官網-蔥香油雞肉絲'],https://reurl.cc/xZgjze,https://eatender.firdi.org.tw/product/detail?id=11612
極品海鱸魚排少刺,天和鮮物股份有限公司,主食,,,https://eatender.firdi.org.tw/product/detail?id=11022
澎湖鮮蚵,天和鮮物股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11030
鱸獲至寶料理組(CAS鮮凍-金目鱸魚排*1、CAS鮮凍-金目鱸魚片*1、安永-鱸魚高湯*1),安永生活事業股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11020
台灣鯛魚片,東晟水產股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11025
去刺魚片省時料理組,安永生活事業股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11021
產銷履歷雞肉片,洽富實業股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11019
歐式田園醃漬雞柳,洽富實業股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11018
魚之達人黃金午仔菲力（潔淨標示）,魚之達人水產股份有限公司,主菜,,,https://eatender.firdi.org.tw/product/detail?id=11026
龍膽石斑魚片,斑鱻魚場有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11027
mr.masala-芋香堅果醬,宏旺食品有限公司,調味料,,https://www.hongwang.com.tw/,https://eatender.firdi.org.tw/product/detail?id=11744
龍膽石斑肉丁,斑鱻魚場有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11028
鱸魚法式魚排,瀚頂生物科技股份有限公司,RTC食材,,,https://eatender.firdi.org.tw/product/detail?id=11024
自然風茶油XO醬,自然風生物科技有限公司,調味料,['自然風線上商店'],,https://eatender.firdi.org.tw/product/detail?id=11720
醬職人國產無糖添加減鹽黑豆蔭油露,味榮食品工業股份有限公司,調味料,"['樂天', 'MOMO購物網']",,https://eatender.firdi.org.tw/product/detail?id=11717
自然風茶油紅麴薑泥,自然風生物科技有限公司,調味料,['自然風線上商店'],,https://eatender.firdi.org.tw/product/detail?id=11721
有機黃金麥味噌,味榮食品工業股份有限公司,調味料,"['樂天市場', '家樂福線上購物', 'superbuy市集', 'momo購物網']",,https://eatender.firdi.org.tw/product/detail?id=11718
孝敬銀髮族吳太太私房養生低溫初榨花生油,主惠實業股份有限公司,調味品,"['官網購物車', '源順芝麻觀光油廠']",,https://eatender.firdi.org.tw/product/detail?id=13279
純天然香菇海苔醬,菇王食品企業有限公司,調味料,"['PChome', '蝦皮商城']",,https://eatender.firdi.org.tw/product/detail?id=11719
順天本草棗安,順天本草股份有限公司,調味品,"['東森購物', 'YAHOO超級商城', '早安健康嚴選', 'MOMO購物網']",,https://eatender.firdi.org.tw/product/detail?id=13277
紅藜小米甜酒釀,菇王食品企業有限公司,調味品,"['蝦皮', '博客來', '誠品']",,https://eatender.firdi.org.tw/product/detail?id=13278
毓秀私房醬頂級猴菇梅干醬,雅薇股份有限公司,調味品,"['素易購', '健康食彩', '無毒的家', '特力和樂', '聖德科斯', '毓秀私房醬']",,https://eatender.firdi.org.tw/product/detail?id=13276
味榮海苔醬,味榮食品工業股份有限公司,調味品,['味榮柑仔店'],,https://eatender.firdi.org.tw/product/detail?id=13275
丸莊黑豆薄鹽醬油,丸莊食品工業股份有限公司,調味品,"['蝦皮購物', '聖德科斯', '愛買', '大潤發', '家樂福']",,https://eatender.firdi.org.tw/product/detail?id=13274
黃金蕎麥脆粒,台灣黃金蕎麥有限公司,休閒食品,,,https://eatender.firdi.org.tw/product/detail?id=11015
米花說-岩烤海苔,悅旺食品有限公司,休閒食品,['樂天市場'],,https://eatender.firdi.org.tw/product/detail?id=11014
鰻魚風味鮮魚鬆蛋捲雙拼組合,屏榮實業股份有限公司,休閒食品,,,https://eatender.firdi.org.tw/product/detail?id=11016
新東陽炙燒蜜汁豬樂條,新東陽股份有限公司大園廠,休閒食品,,,https://eatender.firdi.org.tw/product/detail?id=11017
米乖乖烤地瓜口味,乖乖股份有限公司,休閒食品,['全家'],https://www.kuai.com.tw/mainssl/modules/MySpace/index.php?sn=kuai&pg=ZC593740,https://eatender.firdi.org.tw/product/detail?id=11698
乖乖玉米脆條香蕉,乖乖股份有限公司,休閒食品,['全聯'],https://www.kuai.com.tw/mainssl/modules/MySpace/index.php?sn=kuai&pg=ZC593740,https://eatender.firdi.org.tw/product/detail?id=11699
乖乖玉米圈圈洋蔥,乖乖股份有限公司,休閒食品,['全聯'],https://www.kuai.com.tw/mainssl/modules/MySpace/index.php?sn=kuai&pg=ZC593740,https://eatender.firdi.org.tw/product/detail?id=11700
養豬人家原味豬肉絲,品冠現代畜產股份有限公司,休閒食品,"['愛合購', '官方網站', 'MOMO']",https://www.sunny-porkhouse.com/,https://eatender.firdi.org.tw/product/detail?id=11708
有機糙米餅,展康國際有機(股)公司,休閒食品,"['momo購物網', '家樂福']",,https://eatender.firdi.org.tw/product/detail?id=11704
臺灣活力米香捲-鮮採海苔口味,統百食品股份有限公司,休閒食品,"['家樂福量販店', 'pchome商店街', '樂天商城']",http://tongbae.com.tw,https://eatender.firdi.org.tw/product/detail?id=11703
有機活力米香捲-紫米口味,統百食品股份有限公司,休閒食品,"['家樂福量販店', '統百食品-pchome商店街', '統百食品-樂天商城']",http://tongbae.com.tw,https://eatender.firdi.org.tw/product/detail?id=11701
臺灣米夾心餅-特濃黑芝麻,統百食品股份有限公司,休閒食品,"['生態綠', '家樂福量販店', '統百食品-pchome商店街', '統百食品-樂天商城']",http://tongbae.com.tw,https://eatender.firdi.org.tw/product/detail?id=11702
狀元魚淬(養生),天時福水產食品股份有限公司,其他,,,https://eatender.firdi.org.tw/product/detail?id=11034
母傳鮮滴雞精,台灣牧場股份有限公司,其他,,,https://eatender.firdi.org.tw/product/detail?id=11031
狀元魚淬(原味),天時福水產食品股份有限公司,其他,,,https://eatender.firdi.org.tw/product/detail?id=11035
醬好糠,玉山鑫有限公司,其他,"['官網', '奧丁丁']",,https://eatender.firdi.org.tw/product/detail?id=11038
魚你守護鱸魚精禮盒,好廚家企業社,其他,,,https://eatender.firdi.org.tw/product/detail?id=11036
大成輕雞精,大成長城股份有限公司,湯品,,,https://eatender.firdi.org.tw/product/detail?id=11033
鮮選我-香菇塩麴風味料,臺鹽實業股份有限公司,其他,,,https://eatender.firdi.org.tw/product/detail?id=11039
健康優鮮鱸魚精,安永生活事業股份有限公司,其他,['ANYOFRESH線上購物'],,https://eatender.firdi.org.tw/product/detail?id=11037
鮮選我-鰹魚塩麴風味料,臺鹽實業股份有限公司,其他,,,https://eatender.firdi.org.tw/product/detail?id=11040
喜琵鷥滴雞精,駱駝鈴生機股份有限公司,湯品,['健康食彩天然有機健康專賣'],,https://eatender.firdi.org.tw/product/detail?id=11032
晨露滴雞精,元進莊企業股份有限公司,其他,"['台中新光三越-中港店B2元進莊', '元進莊-晨露滴雞精', '樂天', '蝦皮']",https://www.yjcfood.com/products/chenlu10,https://eatender.firdi.org.tw/product/detail?id=11722
精燉鱸魚高湯,峰漁股份有限公司,湯品,,,https://eatender.firdi.org.tw/product/detail?id=10989
