source,key,site,price,name,event,link
findprice,娘家大紅麴,Yahoo奇摩購物中心,"$ 2,450",(官方直營)娘家大紅麴,"['', '']",https://www.findprice.com.tw/go/gin8grn8/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 麥叔叔的店,"$ 2,290",娘家大紅麴膠囊 30粒/盒,"['', '']",https://www.findprice.com.tw/go/gyh2kjmd/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 安康藥妝,"$ 2,299",娘家 大紅麴膠囊 30入/盒,"['', '']",https://www.findprice.com.tw/go/g6qzday7/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,鮮拾,"$ 6,810",【娘家】大紅麴(30粒/盒x3盒組),"['', '']",https://www.findprice.com.tw/go/g5j8sr6m/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,屈臣氏網路商店,"$ 2,451",娘家 娘家大紅麴膠囊30粒,"['', '']",https://www.findprice.com.tw/go/gxivqu2y/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 壹品藥局,"$ 2,580",【娘家】大紅麴 30粒/盒,"['', '']",https://www.findprice.com.tw/go/grmzpdw9/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 健康優購網,"$ 2,451",娘家大紅麴膠囊(原廠供貨),"['', '']",https://www.findprice.com.tw/go/gdaeuhwp/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 元氣健康館,"$ 2,298",娘家- 大紅麴（30粒/盒）元氣健康館,"['', '']",https://www.findprice.com.tw/go/gnphk3en/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,松果購物,"$ 2,112",【娘家】大紅麴 (30粒/盒) (8.5折),"['', '']",https://www.findprice.com.tw/go/gyfix3cy/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,松果購物,"$ 2,200",娘家 大紅麴膠囊 (30粒/盒) (9.2折),"['', '']",https://www.findprice.com.tw/go/gcn744ac/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
