source,key,site,price,name,event,link
momo,娘家大紅麴,,"$6,811",【娘家官方直營】娘家大紅麴三盒組(30粒/盒),['速贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6970915&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,娘家大紅麴,,"$2,451",【娘家官方直營】娘家大紅麴一盒組(30粒/盒),['速贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4622890&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,娘家大紅麴,,"$9,080",【娘家官方直營】娘家大紅麴四盒組(30粒/盒),['速贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8093537&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,娘家大紅麴,,"$4,644",【娘家官方直營】娘家大紅麴兩盒組(30粒/盒),['速贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4641836&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,娘家大紅麴,,"$15,480",【娘家官方直營】娘家大紅麴六盒(30粒/盒),['速贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7076682&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,娘家大紅麴,,"$12,900",【娘家官方直營】娘家大紅麴五盒組(30粒/盒),['速贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9358457&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,娘家大紅麴,,"$30,906",【娘家官方直營】娘家大紅麴十二盒(30粒/盒),['速'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7076683&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E5%A8%98%E5%AE%B6%E5%A4%A7%E7%B4%85%E9%BA%B4
momo,格瑞空氣清淨機,很抱歉，查無完全符合格瑞空氣清淨機的商品，我們試著搜尋出下列相似商品，或者請您試試其他關鍵字。,,,,
momo,娘家滴雞精,,"$4,590",【娘家】嚴選冷凍滴雞精 33入momo獨家雙盒組(65ml/包),['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8217233&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$3,116",【娘家】嚴選冷凍滴雞精 20入組,['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7842920&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$3,434",【娘家】常溫滴雞精12入2盒組(50ml/入),['售完補貨中'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8991063&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$3,836",【娘家】常溫滴雞精獨家28入雙盒組/50ml/入(週期購),['售完補貨中'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8534207&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$8,880",【娘家】嚴選優質滴雞精 60包超值組,['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7884896&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$1,786",【娘家】嚴選冷凍滴雞精 11入(娘家),['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8211486&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$1,786",【娘家】嚴選冷凍滴雞精10入組,['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7850027&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$2,546",【娘家】常溫滴雞精 16入組(50ml/入),['速登記贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10193133&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$5,172",【娘家】常溫滴雞精12入3盒組(50ml/入),['售完補貨中'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8861714&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$7,075",【娘家】常溫滴雞精16入3盒組(50ml/入),['速登記贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10205243&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$4,824",【娘家】常溫滴雞精16入2盒組(50ml/入),['速登記贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10205242&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$3,116",【娘家】嚴選冷凍滴雞精 20入組(週期購),['週登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7883925&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$16,740",【娘家】嚴選優質滴雞精 120包超值組(娘家),['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7854417&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$5,904",【娘家】嚴選優質冷凍滴雞精 40包(娘家),['急鮮登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7854415&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,$270,【鮮食家】任選799 娘家廚房 滴雞精水餃(25g±5%*16入/袋),['登記'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10214531&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
momo,娘家滴雞精,,"$1,280",【娘家】常溫熬雞精12入(42ml/入),['速登記贈品'],https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8346982&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E5%A8%98%E5%AE%B6%E6%BB%B4%E9%9B%9E%E7%B2%BE
