一昌實業股份有限公司,"I-CHONG DEVELOPMENT CO., LTD",夾克、男襯衫、褲子、牛仔褲、裙子、休閒服、運動服,苗栗縣後龍鎮南龍里勝利街 208之14號,037-723111-3,037-725989,cs.chong@msa.hinet.net,,
丸曾西裝社股份有限公司,"WAN TSUN CLOTHING CO., LTD.",西服、套裝、夾克、褲子、休閒服、工作服、運動服、衝浪褲,台北市仁愛路四段376 號7樓之1,02-27557911,02-27010209,mej-jong@umail.hinet.net,,海外設廠：柬埔
山華企業股份有限公司,WELL & DAVID CORP.,夾克、滑雪裝、工作服、Polo衫,高雄市鼓山區吳鳳路11號,07-5858288,07-5833738,suzy@wnd.com.tw,http://www.wnd.com.tw/,海外設廠：柬埔
太春企業股份有限公司,TITAN CORPORATION LTD.,男襯衫、女襯衫、裙子、洋裝、休閒服、睡衣、運動服,台北市基隆路一段159號13樓,02-87867822,02-87861629,titanliaw@yahoo.com.tw,NIL
中國唯一製衣廠股份有限公司,"CHINA UNIQUE GARMENT MFG. CO., LTD.",男襯衫,台北市松山區南京東路三段248號 15樓,02-27310991,02-27752080,yu@mail.chinaunique.com.tw,NIL,海外設廠：緬甸、寮國、尼加拉
中興紡織廠股份有限公司,"CHUNG SHING TEXTILE CO., LTD.",夾克、男襯衫、童裝、休閒服、內衣褲、運動服,台北市信義區基隆路一段200號 10樓之1,02-23455777,02-23457939,cs@mail.chung-shing.com.tw,http://www.chung-shing.com.tw/,海外設廠：越
中阿行股份有限公司,"MINKWOOD INTERNATIONAL CO., LTD.",禮服,台北市信義路五段5號2B 05/06/07室,02-27252850,02-27251044,minkwood@ms22.hinet.net,NIL
天昶實業股份有限公司,"CENTAUR INDUSTRIAL CO., LTD.",夾克、褲子、裙子、洋裝、童裝、休閒服、運動服,台北市復興北路483號3樓,02-27131334,02-27127350,david@centaur.com.tw,NIL
介強製衣股份有限公司,JECHIARNG GARMENT MFG. CORP.,夾克、褲子、童裝、睡衣、流行女裝、運動服、Polo衫,新北市土城區中華路一段60號4樓,02-22704316-9,02-22607075,nina@jechiarng.com.tw,NIL,海外設廠：菲律賓、柬埔
介勇實業股份有限公司,"JE YEONG INDUSTRY CO., LTD.",夾克、褲子、裙子、洋裝、童裝、休閒服、運動服,新北市土城區中華路一段60號4樓,02-22704316-9,02-22660115,liang@jechiarng.com.tw,NIL,海外設廠：菲律賓、柬埔
五綸織造股份有限公司,"WU LUEN KNITTING CO., LTD.",褲子、韻律服、團體制服、海釣褲、沖浪衣、運動服、Polo衫、圓領衫,彰化縣埤頭鄉彰水路三段859號,04-8927377,04-8924578,wuluen@wu-luen.com.tt,www.wu-luen.com.tw/
台南企業股份有限公司,"TAINAN ENTERPRISES CO., LTD.",夾克、女襯衫、褲子、裙子、洋裝、防護衣,台北市杭州南路一段15-1號15樓,02-23916421,02-23971413,tainan-gmo@tai-nan.com,www.eng.tai-nan.com,海外設廠：越南、柬埔寨、印
台文針織股份有限公司,"DIAMOND HOSIERY & THREAD CO., LTD.",夾克、休閒服、內衣褲、運動服、Polo衫,台北市敦化南路二段2號13樓 (裕隆大樓),02-27005386,02-27005350,julie.hsu@zmo.com.tw,NIL,海外設廠：菲律
台灣中瑞國際企業股份有限公司,"CEA POINT INDUSTRIAL CO., LTD.",團體制服、高爾夫休閒服,新北市新莊區新北產業園區五工五路 11號,02-22989192,02-22988484,recruiting@wolsey.com.tw,http://www.wolsey.com.tw
永芳被服廠股份有限公司,"YUNG FANG CLOTHING CO., LTD.",套裝、男襯衫、褲子、休閒服、運動服,台北市仁愛路四段30號6樓,02-27068571-2,02-27003104,yf5678@ms45.hinet.net,NIL
永鎰實業股份有限公司,"PACIFIC EAGLE ENTERPRISE CO., LTD.",休閒服、潛水衣、海釣褲、沖浪衣、運動服,台中市豐原區源豐路172-3號,04-25227671,04-25227703,pacificeagle420@yahoo.com.tw,http://www.pacificeagle.com/
永樂塑膠廠有限公司,"EVER SAFETEX CO., LTD.",團體制服、雨衣、夾克、工作服,新北市三重區安慶街53號,02-29716162,02-29847861,eversafetex@gmail.com,NIL,海外設廠：緬
立安製衣事業股份有限公司,"LIAN GARMENT ENTERPRISE CO., LTD.",流行女裝、塑身衣、Polo衫,新北市板橋區民生路二段 226巷8弄8號,02-22512689,02-22530838,lian.yaw@msa.hinet.net,http://www.lian-garment.com.tw
