統一編號,公司名稱,英文名稱,代表人姓名,公司所在地,英文地址,電話,Mail,資本總額(元)
24765954,伊勒伯科技股份有限公司,"WINNOZ TECHNOLOGY, INC.",熊樂昌,新北市中和區連城路238號5樓之1,"5F.-1, No. 238, Liancheng Rd., Zhonghe Dist., New Taipei City 23553, Taiwan (R.O.C.)
(來源:國貿局資料)","02-22217879
(來源:國貿局資料)",,"100,000,000"
24210765,啟基生技股份有限公司,"SPIREGENE BIOTECH CO., LTD.",蔡榮輝,桃園市桃園區介壽路22號,"No. 22, Jieshou Rd., Taoyuan Dist., Taoyuan City 33062, Taiwan (R.O.C.)
(來源:國貿局資料)","03-3671766
(來源:國貿局資料)
(03) 3671766
(來源:台灣標案網)",,"100,000,000"
12727371,捷健國際股份有限公司,"ACCESS HEALTH INTERNATIONAL CO., LTD.",羅英瑞,桃園市蘆竹區南崁路一段99號3樓之6,"3F.-6, No. 99, Sec. 1, Nankan Rd., Luzhu Dist., Taoyuan City 33859, Taiwan (R.O.C.)
(來源:國貿局資料)","03-2124392
(來源:國貿局資料)",,"5,000,000"
12337417,一成藥品股份有限公司,"SUCCESS MEDICAL CO., LTD.",黃昆其,新北市汐止區新台五路1段77號19樓之8,"19F.-8, No. 77, Sec. 1, Xintai 5th Rd., Xizhi Dist., New Taipei City 22101, Taiwan (R.O.C.)
(來源:國貿局資料)","02-2501-6265
(來源:國貿局資料)
(02) 25016265
(02) 26981567
(來源:台灣標案網)",,"20,000,000"
42527006,臺北市立聯合醫院附設仁愛產後護理之家,,,臺北市大安區仁慈里仁愛路4段10號,,,,
42526560,臺北市立聯合醫院附設和平婦幼產後護理之家,,,臺北市中正區南福里福州街12號,,,,
42524459,臺北市立聯合醫院附設營業處,,,臺北市大同區玉泉里鄭州路145號,,,,"100,000"
31814234,臺北市立聯合醫院陽明院區營養科,,,臺北市士林區名山里雨聲街105號B1,,,,"100,000"
26277754,臺北市立聯合醫院中興院區營養科,,,臺北市大同區玉泉里鄭州路145號B1樓,,,,"1,000"
26277282,臺北市立聯合醫院松德院區營養科,,,臺北市信義區三犁里松德路309號3樓,,,,"50,000"
